Script started on Mon 13 Mar 2017 09:22:50 PM UTC
1, Parallel, Filter First, 0.9, 512
1, Parallel, Data First, 0.0, 512
2, Parallel, Filter First, 0.65, 512
2, Parallel, Data First, 0.7, 512
4, Parallel, Filter First, 0.1432, 512
4, Parallel, Data First, 0.4, 512
8, Parallel, Filter First, 0.4609, 512
8, Parallel, Data First, 0.3279, 512
16, Parallel, Filter First, 0.245, 512
16, Parallel, Data First, 0.124, 512
1, Parallel, Filter First, 0.11, 512
1, Parallel, Data First, 0.1, 512
2, Parallel, Filter First, 0.56, 512
2, Parallel, Data First, 0.5, 512
4, Parallel, Filter First, 0.746, 512
4, Parallel, Data First, 0.3, 512
8, Parallel, Filter First, 0.3656, 512
8, Parallel, Data First, 0.3109, 512
16, Parallel, Filter First, 0.226, 512
16, Parallel, Data First, 0.117, 512
1, Parallel, Filter First, 0.10, 512
1, Parallel, Data First, 0.0, 512
2, Parallel, Filter First, 0.67, 512
2, Parallel, Data First, 0.4, 512
4, Parallel, Filter First, 0.62, 512
4, Parallel, Data First, 0.2, 512
8, Parallel, Filter First, 0.4557, 512
8, Parallel, Data First, 0.4663, 512
16, Parallel, Filter First, 0.263, 512
16, Parallel, Data First, 0.139, 512
1, Parallel, Filter First, 0.9, 512
1, Parallel, Data First, 0.1, 512
2, Parallel, Filter First, 0.55, 512
2, Parallel, Data First, 0.3, 512
4, Parallel, Filter First, 0.61, 512
4, Parallel, Data First, 0.2, 512
8, Parallel, Filter First, 0.4558, 512
8, Parallel, Data First, 0.3299, 512
16, Parallel, Filter First, 0.208, 512
16, Parallel, Data First, 0.139, 512
1, Parallel, Filter First, 0.10, 512
1, Parallel, Data First, 0.1, 512
2, Parallel, Filter First, 0.71, 512
2, Parallel, Data First, 0.4, 512
4, Parallel, Filter First, 0.81, 512
4, Parallel, Data First, 0.3, 512
8, Parallel, Filter First, 0.2838, 512
8, Parallel, Data First, 0.7, 512
16, Parallel, Filter First, 0.232, 512
16, Parallel, Data First, 0.122, 512
1, Parallel, Filter First, 0.10, 512
1, Parallel, Data First, 0.1, 512
2, Parallel, Filter First, 0.60, 512
2, Parallel, Data First, 0.5, 512
4, Parallel, Filter First, 0.1094, 512
4, Parallel, Data First, 0.3, 512
8, Parallel, Filter First, 0.3738, 512
8, Parallel, Data First, 0.3545, 512
16, Parallel, Filter First, 0.228, 512
16, Parallel, Data First, 0.128, 512
1, Parallel, Filter First, 0.8, 512
1, Parallel, Data First, 0.1, 512
2, Parallel, Filter First, 0.61, 512
2, Parallel, Data First, 0.4, 512
4, Parallel, Filter First, 0.73, 512
4, Parallel, Data First, 0.2, 512
8, Parallel, Filter First, 0.3530, 512
8, Parallel, Data First, 0.8, 512
16, Parallel, Filter First, 0.193, 512
16, Parallel, Data First, 0.130, 512
1, Parallel, Filter First, 0.9, 512
1, Parallel, Data First, 0.1, 512
2, Parallel, Filter First, 0.58, 512
2, Parallel, Data First, 0.4, 512
4, Parallel, Filter First, 0.1415, 512
4, Parallel, Data First, 0.2, 512
8, Parallel, Filter First, 0.4165, 512
8, Parallel, Data First, 0.2897, 512
16, Parallel, Filter First, 0.247, 512
16, Parallel, Data First, 0.117, 512
1, Parallel, Filter First, 0.10, 512
1, Parallel, Data First, 0.2, 512
