Script started on Tue 14 Mar 2017 05:35:34 PM UTC
1, Parallel, Filter First, 10.474156, 512
1, Parallel, Data First, 9.831827, 512
2, Parallel, Filter First, 5.223735, 512
2, Parallel, Data First, 4.914733, 512
4, Parallel, Filter First, 5.232604, 512
4, Parallel, Data First, 3.282589, 512
8, Parallel, Filter First, 5.232094, 512
8, Parallel, Data First, 2.441870, 512
16, Parallel, Filter First, 5.230465, 512
16, Parallel, Data First, 2.455036, 512
1, Parallel, Filter First, 10.492992, 512
1, Parallel, Data First, 9.838674, 512
2, Parallel, Filter First, 5.227619, 512
2, Parallel, Data First, 4.915780, 512
4, Parallel, Filter First, 5.228647, 512
4, Parallel, Data First, 3.37984, 512
8, Parallel, Filter First, 5.230714, 512
8, Parallel, Data First, 2.442822, 512
16, Parallel, Filter First, 5.229306, 512
16, Parallel, Data First, 2.456411, 512
1, Parallel, Filter First, 10.491968, 512
1, Parallel, Data First, 9.867592, 512
2, Parallel, Filter First, 5.244997, 512
2, Parallel, Data First, 4.925258, 512
4, Parallel, Filter First, 5.244774, 512
4, Parallel, Data First, 3.287015, 512
8, Parallel, Filter First, 5.226821, 512
8, Parallel, Data First, 2.442626, 512
16, Parallel, Filter First, 5.226359, 512
16, Parallel, Data First, 2.456294, 512
1, Parallel, Filter First, 10.473093, 512
1, Parallel, Data First, 9.838965, 512
2, Parallel, Filter First, 5.222487, 512
2, Parallel, Data First, 4.913825, 512
4, Parallel, Filter First, 5.225638, 512
4, Parallel, Data First, 3.283495, 512
8, Parallel, Filter First, 5.223906, 512
8, Parallel, Data First, 2.443004, 512
16, Parallel, Filter First, 5.230083, 512
16, Parallel, Data First, 2.457302, 512
1, Parallel, Filter First, 10.482997, 512
1, Parallel, Data First, 9.799417, 512
2, Parallel, Filter First, 5.245102, 512
2, Parallel, Data First, 4.905803, 512
4, Parallel, Filter First, 5.247644, 512
4, Parallel, Data First, 2.460587, 512
8, Parallel, Filter First, 5.236277, 512
8, Parallel, Data First, 2.446116, 512
16, Parallel, Filter First, 5.914084, 512
16, Parallel, Data First, 2.455873, 512
1, Parallel, Filter First, 10.499002, 512
1, Parallel, Data First, 9.833635, 512
2, Parallel, Filter First, 5.235301, 512
2, Parallel, Data First, 4.917778, 512
4, Parallel, Filter First, 5.232669, 512
4, Parallel, Data First, 2.460157, 512
8, Parallel, Filter First, 5.235214, 512
8, Parallel, Data First, 2.441621, 512
16, Parallel, Filter First, 5.231347, 512
16, Parallel, Data First, 2.456601, 512
1, Parallel, Filter First, 10.498337, 512
1, Parallel, Data First, 9.887495, 512
2, Parallel, Filter First, 5.242639, 512
2, Parallel, Data First, 4.926463, 512
4, Parallel, Filter First, 5.242925, 512
4, Parallel, Data First, 3.177850, 512
8, Parallel, Filter First, 5.232500, 512
8, Parallel, Data First, 2.444392, 512
16, Parallel, Filter First, 5.232998, 512
16, Parallel, Data First, 2.455535, 512
1, Parallel, Filter First, 10.485598, 512
1, Parallel, Data First, 9.845258, 512
2, Parallel, Filter First, 5.229649, 512
2, Parallel, Data First, 4.919099, 512
4, Parallel, Filter First, 5.231659, 512
4, Parallel, Data First, 2.574854, 512
8, Parallel, Filter First, 5.230904, 512
8, Parallel, Data First, 2.442292, 512
16, Parallel, Filter First, 5.230546, 512
16, Parallel, Data First, 2.468732, 512
