Script started on Tue 14 Mar 2017 06:20:02 PM UTC
1, Parallel, Filter First, 10.461453, 512
1, Parallel, Data First, 9.761474, 512
2, Parallel, Filter First, 5.218038, 512
2, Parallel, Data First, 4.881113, 512
4, Parallel, Filter First, 2.610061, 512
4, Parallel, Data First, 2.441431, 512
8, Parallel, Filter First, 2.533489, 512
8, Parallel, Data First, 2.464154, 512
16, Parallel, Filter First, 2.561412, 512
16, Parallel, Data First, 2.478689, 512
1, Parallel, Filter First, 10.447681, 512
1, Parallel, Data First, 9.760215, 512
2, Parallel, Filter First, 5.214706, 512
2, Parallel, Data First, 4.881246, 512
4, Parallel, Filter First, 3.288856, 512
4, Parallel, Data First, 2.441602, 512
8, Parallel, Filter First, 2.534839, 512
8, Parallel, Data First, 2.463924, 512
16, Parallel, Filter First, 2.534242, 512
16, Parallel, Data First, 2.509221, 512
1, Parallel, Filter First, 10.449211, 512
1, Parallel, Data First, 9.760494, 512
2, Parallel, Filter First, 5.215397, 512
2, Parallel, Data First, 4.878934, 512
4, Parallel, Filter First, 2.609272, 512
4, Parallel, Data First, 2.442449, 512
8, Parallel, Filter First, 2.532740, 512
8, Parallel, Data First, 2.464679, 512
16, Parallel, Filter First, 2.576458, 512
16, Parallel, Data First, 2.463116, 512
1, Parallel, Filter First, 10.465591, 512
1, Parallel, Data First, 9.787195, 512
2, Parallel, Filter First, 5.225097, 512
2, Parallel, Data First, 4.893140, 512
4, Parallel, Filter First, 2.623302, 512
4, Parallel, Data First, 2.444011, 512
8, Parallel, Filter First, 2.540607, 512
8, Parallel, Data First, 2.464476, 512
16, Parallel, Filter First, 2.550640, 512
16, Parallel, Data First, 2.483686, 512
1, Parallel, Filter First, 10.465631, 512
1, Parallel, Data First, 9.801387, 512
2, Parallel, Filter First, 5.220400, 512
2, Parallel, Data First, 4.900002, 512
4, Parallel, Filter First, 5.42232, 512
4, Parallel, Data First, 4.918683, 512
8, Parallel, Filter First, 2.539088, 512
8, Parallel, Data First, 2.464395, 512
16, Parallel, Filter First, 2.591488, 512
16, Parallel, Data First, 2.488078, 512
1, Parallel, Filter First, 10.462828, 512
1, Parallel, Data First, 9.783454, 512
2, Parallel, Filter First, 5.217063, 512
2, Parallel, Data First, 4.890928, 512
4, Parallel, Filter First, 3.272849, 512
4, Parallel, Data First, 2.445271, 512
8, Parallel, Filter First, 2.524330, 512
8, Parallel, Data First, 2.465310, 512
16, Parallel, Filter First, 2.560428, 512
16, Parallel, Data First, 2.485474, 512
1, Parallel, Filter First, 10.450291, 512
1, Parallel, Data First, 9.762518, 512
2, Parallel, Filter First, 5.218531, 512
2, Parallel, Data First, 4.881243, 512
4, Parallel, Filter First, 4.404308, 512
4, Parallel, Data First, 2.442375, 512
