Script started on Mon 13 Mar 2017 08:41:10 PM UTC
1, Parallel, Filter First, 10.417126, 512
1, Parallel, Data First, 9.808333, 512
2, Parallel, Filter First, 5.204769, 512
2, Parallel, Data First, 4.910479, 512
4, Parallel, Filter First, 5.205448, 512
4, Parallel, Data First, 3.197580, 512
8, Parallel, Filter First, 5.207024, 512
8, Parallel, Data First, 2.479891, 512
16, Parallel, Filter First, 5.204426, 512
16, Parallel, Data First, 2.478191, 512
1, Parallel, Filter First, 10.415514, 512
1, Parallel, Data First, 9.775672, 512
2, Parallel, Filter First, 5.197753, 512
2, Parallel, Data First, 4.889067, 512
4, Parallel, Filter First, 5.199822, 512
4, Parallel, Data First, 2.451583, 512
8, Parallel, Filter First, 5.201495, 512
8, Parallel, Data First, 2.483595, 512
16, Parallel, Filter First, 5.199611, 512
16, Parallel, Data First, 2.546507, 512
1, Parallel, Filter First, 10.398769, 512
1, Parallel, Data First, 9.773053, 512
2, Parallel, Filter First, 5.193182, 512
2, Parallel, Data First, 4.887404, 512
4, Parallel, Filter First, 5.195462, 512
4, Parallel, Data First, 4.904319, 512
8, Parallel, Filter First, 5.195336, 512
8, Parallel, Data First, 2.478308, 512
16, Parallel, Filter First, 5.193861, 512
16, Parallel, Data First, 2.524549, 512
1, Parallel, Filter First, 10.412777, 512
1, Parallel, Data First, 9.807383, 512
2, Parallel, Filter First, 5.196758, 512
2, Parallel, Data First, 4.907550, 512
4, Parallel, Filter First, 5.199203, 512
4, Parallel, Data First, 2.457567, 512
8, Parallel, Filter First, 5.201167, 512
8, Parallel, Data First, 2.463048, 512
16, Parallel, Filter First, 5.198187, 512
16, Parallel, Data First, 2.471965, 512
1, Parallel, Filter First, 10.401396, 512
1, Parallel, Data First, 9.773126, 512
2, Parallel, Filter First, 5.193438, 512
2, Parallel, Data First, 4.887127, 512
4, Parallel, Filter First, 5.193918, 512
4, Parallel, Data First, 2.450373, 512
8, Parallel, Filter First, 5.197505, 512
8, Parallel, Data First, 2.486396, 512
16, Parallel, Filter First, 5.194045, 512
16, Parallel, Data First, 2.480978, 512
1, Parallel, Filter First, 10.413960, 512
1, Parallel, Data First, 9.783927, 512
2, Parallel, Filter First, 5.197319, 512
2, Parallel, Data First, 4.891782, 512
4, Parallel, Filter First, 5.199298, 512
4, Parallel, Data First, 4.904877, 512
8, Parallel, Filter First, 5.197044, 512
8, Parallel, Data First, 2.641544, 512
16, Parallel, Filter First, 5.197054, 512
16, Parallel, Data First, 2.501181, 512
1, Parallel, Filter First, 10.414205, 512
1, Parallel, Data First, 9.775610, 512
2, Parallel, Filter First, 5.205938, 512
2, Parallel, Data First, 4.892320, 512
4, Parallel, Filter First, 5.208511, 512
4, Parallel, Data First, 4.907016, 512
8, Parallel, Filter First, 5.209818, 512
8, Parallel, Data First, 2.470617, 512
16, Parallel, Filter First, 5.206065, 512
16, Parallel, Data First, 2.460848, 512
1, Parallel, Filter First, 10.402680, 512
1, Parallel, Data First, 9.772681, 512
2, Parallel, Filter First, 5.196318, 512
2, Parallel, Data First, 4.889182, 512
4, Parallel, Filter First, 5.199347, 512
4, Parallel, Data First, 3.978906, 512
8, Parallel, Filter First, 5.201338, 512
8, Parallel, Data First, 2.481339, 512
16, Parallel, Filter First, 5.196616, 512
16, Parallel, Data First, 2.513274, 512
1, Parallel, Filter First, 10.402625, 512
1, Parallel, Data First, 9.771809, 512
2, Parallel, Filter First, 5.196838, 512
2, Parallel, Data First, 4.886704, 512
4, Parallel, Filter First, 5.199580, 512
4, Parallel, Data First, 4.406152, 512
8, Parallel, Filter First, 5.198998, 512
8, Parallel, Data First, 2.486804, 512
16, Parallel, Filter First, 5.195704, 512
16, Parallel, Data First, 2.472357, 512
1, Parallel, Filter First, 10.409671, 512
1, Parallel, Data First, 9.771953, 512
2, Parallel, Filter First, 5.199020, 512
2, Parallel, Data First, 4.888762, 512
4, Parallel, Filter First, 5.201428, 512
4, Parallel, Data First, 2.768885, 512
8, Parallel, Filter First, 5.205127, 512
8, Parallel, Data First, 2.463129, 512
16, Parallel, Filter First, 5.633083, 512
16, Parallel, Data First, 2.487516, 512
1, Parallel, Filter First, 10.422528, 512
1, Parallel, Data First, 9.829759, 512
2, Parallel, Filter First, 5.210146, 512
2, Parallel, Data First, 4.917985, 512
4, Parallel, Filter First, 5.210757, 512
4, Parallel, Data First, 3.634740, 512
8, Parallel, Filter First, 5.208046, 512
8, Parallel, Data First, 2.474677, 512
16, Parallel, Filter First, 5.212829, 512
16, Parallel, Data First, 2.501670, 512
1, Parallel, Filter First, 10.408880, 512
1, Parallel, Data First, 9.771781, 512
2, Parallel, Filter First, 5.199158, 512
2, Parallel, Data First, 4.886983, 512
4, Parallel, Filter First, 5.200889, 512
4, Parallel, Data First, 2.450874, 512
8, Parallel, Filter First, 5.202657, 512
8, Parallel, Data First, 2.469353, 512
16, Parallel, Filter First, 5.198998, 512
16, Parallel, Data First, 2.505208, 512
1, Parallel, Filter First, 10.413856, 512
1, Parallel, Data First, 9.772321, 512
2, Parallel, Filter First, 5.200089, 512
2, Parallel, Data First, 4.887256, 512
4, Parallel, Filter First, 5.201482, 512
4, Parallel, Data First, 3.592245, 512
8, Parallel, Filter First, 5.203073, 512
8, Parallel, Data First, 2.463292, 512
16, Parallel, Filter First, 5.199862, 512
16, Parallel, Data First, 2.460960, 512
1, Parallel, Filter First, 10.399629, 512
1, Parallel, Data First, 9.772231, 512
2, Parallel, Filter First, 5.193497, 512
2, Parallel, Data First, 4.887270, 512
4, Parallel, Filter First, 5.195683, 512
4, Parallel, Data First, 4.904384, 512
8, Parallel, Filter First, 5.197141, 512
8, Parallel, Data First, 2.493089, 512
16, Parallel, Filter First, 5.194595, 512
16, Parallel, Data First, 2.493659, 512
1, Parallel, Filter First, 10.427036, 512
1, Parallel, Data First, 9.807125, 512
2, Parallel, Filter First, 5.202732, 512
2, Parallel, Data First, 4.906966, 512
4, Parallel, Filter First, 5.205021, 512
4, Parallel, Data First, 2.457409, 512
8, Parallel, Filter First, 5.206823, 512
8, Parallel, Data First, 2.486923, 512
16, Parallel, Filter First, 5.203642, 512
16, Parallel, Data First, 2.508977, 512
1, Parallel, Filter First, 10.414144, 512
1, Parallel, Data First, 9.771766, 512
2, Parallel, Filter First, 5.196016, 512
