Script started on Tue 14 Mar 2017 05:21:24 PM UTC
1, Parallel, Data First, 9.815318, 512
2, Parallel, Data First, 4.907754, 512
4, Parallel, Data First, 2.456490, 512
8, Parallel, Data First, 2.474805, 512
16, Parallel, Data First, 2.542578, 512
1, Parallel, Data First, 9.819602, 512
2, Parallel, Data First, 4.906982, 512
4, Parallel, Data First, 2.455663, 512
8, Parallel, Data First, 2.468975, 512
16, Parallel, Data First, 2.508369, 512
1, Parallel, Data First, 9.903299, 512
2, Parallel, Data First, 4.950836, 512
4, Parallel, Data First, 2.477796, 512
8, Parallel, Data First, 2.464722, 512
16, Parallel, Data First, 2.461773, 512
1, Parallel, Data First, 9.817476, 512
2, Parallel, Data First, 4.905889, 512
4, Parallel, Data First, 2.455999, 512
8, Parallel, Data First, 2.472287, 512
16, Parallel, Data First, 2.467252, 512
1, Parallel, Data First, 9.881273, 512
2, Parallel, Data First, 4.934481, 512
4, Parallel, Data First, 2.468529, 512
8, Parallel, Data First, 2.471037, 512
16, Parallel, Data First, 2.519414, 512
1, Parallel, Data First, 9.817654, 512
2, Parallel, Data First, 4.909535, 512
4, Parallel, Data First, 2.456331, 512
8, Parallel, Data First, 2.466555, 512
16, Parallel, Data First, 2.458138, 512
1, Parallel, Data First, 9.818584, 512
2, Parallel, Data First, 4.908106, 512
4, Parallel, Data First, 2.456531, 512
8, Parallel, Data First, 2.649665, 512
16, Parallel, Data First, 2.537742, 512
1, Parallel, Data First, 9.840617, 512
2, Parallel, Data First, 4.915217, 512
4, Parallel, Data First, 2.461169, 512
8, Parallel, Data First, 2.469976, 512
16, Parallel, Data First, 2.484544, 512
1, Parallel, Data First, 9.859616, 512
2, Parallel, Data First, 4.922110, 512
4, Parallel, Data First, 2.461780, 512
8, Parallel, Data First, 2.476087, 512
16, Parallel, Data First, 2.479962, 512
1, Parallel, Data First, 9.837901, 512
2, Parallel, Data First, 4.913431, 512
4, Parallel, Data First, 2.457574, 512
8, Parallel, Data First, 2.474346, 512
16, Parallel, Data First, 2.472863, 512
1, Parallel, Data First, 9.844636, 512
2, Parallel, Data First, 4.916793, 512
4, Parallel, Data First, 2.459904, 512
8, Parallel, Data First, 2.658735, 512
16, Parallel, Data First, 2.528584, 512
1, Parallel, Data First, 9.825769, 512
2, Parallel, Data First, 4.910585, 512
4, Parallel, Data First, 2.456069, 512
8, Parallel, Data First, 2.483343, 512
16, Parallel, Data First, 2.498655, 512
1, Parallel, Data First, 9.840487, 512
2, Parallel, Data First, 4.910535, 512
4, Parallel, Data First, 4.922995, 512
8, Parallel, Data First, 2.483946, 512
16, Parallel, Data First, 2.461652, 512
1, Parallel, Data First, 9.827627, 512
2, Parallel, Data First, 4.912807, 512
4, Parallel, Data First, 2.457497, 512
8, Parallel, Data First, 2.475372, 512
16, Parallel, Data First, 2.511192, 512
1, Parallel, Data First, 9.826573, 512
2, Parallel, Data First, 4.906867, 512
4, Parallel, Data First, 2.456986, 512
8, Parallel, Data First, 2.715297, 512
16, Parallel, Data First, 2.486232, 512
1, Parallel, Data First, 9.844531, 512
2, Parallel, Data First, 4.918580, 512
4, Parallel, Data First, 2.461263, 512
8, Parallel, Data First, 2.470892, 512
16, Parallel, Data First, 2.551885, 512
1, Parallel, Data First, 9.920071, 512
2, Parallel, Data First, 4.951800, 512
4, Parallel, Data First, 2.478733, 512
8, Parallel, Data First, 2.475807, 512
16, Parallel, Data First, 2.502094, 512
1, Parallel, Data First, 9.835969, 512
2, Parallel, Data First, 4.911312, 512
4, Parallel, Data First, 2.459985, 512
8, Parallel, Data First, 2.487147, 512
16, Parallel, Data First, 2.502139, 512
1, Parallel, Data First, 9.877509, 512
2, Parallel, Data First, 4.926381, 512
4, Parallel, Data First, 2.465147, 512
8, Parallel, Data First, 2.472096, 512
16, Parallel, Data First, 2.579076, 512
1, Parallel, Data First, 9.839817, 512
2, Parallel, Data First, 4.915714, 512
4, Parallel, Data First, 2.459144, 512
8, Parallel, Data First, 2.481000, 512
16, Parallel, Data First, 2.515135, 512

Script done on Tue 14 Mar 2017 05:28:52 PM UTC
