Script started on Mon 13 Mar 2017 09:02:50 PM UTC
1, Parallel, Filter First, 10.402986, 512
1, Parallel, Data First, 9.757801, 512
2, Parallel, Filter First, 5.196278, 512
2, Parallel, Data First, 4.878223, 512
4, Parallel, Filter First, 3.695030, 512
4, Parallel, Data First, 2.440399, 512
8, Parallel, Filter First, 2.530728, 512
8, Parallel, Data First, 2.464608, 512
16, Parallel, Filter First, 2.557338, 512
16, Parallel, Data First, 2.473846, 512
1, Parallel, Filter First, 10.404208, 512
1, Parallel, Data First, 9.757066, 512
2, Parallel, Filter First, 5.197894, 512
2, Parallel, Data First, 4.877979, 512
4, Parallel, Filter First, 2.600570, 512
4, Parallel, Data First, 2.441130, 512
8, Parallel, Filter First, 2.531172, 512
8, Parallel, Data First, 2.464496, 512
16, Parallel, Filter First, 2.518008, 512
16, Parallel, Data First, 2.469264, 512
1, Parallel, Filter First, 10.410282, 512
1, Parallel, Data First, 9.755974, 512
2, Parallel, Filter First, 5.198756, 512
2, Parallel, Data First, 4.878370, 512
4, Parallel, Filter First, 3.712830, 512
4, Parallel, Data First, 2.440086, 512
8, Parallel, Filter First, 2.530525, 512
8, Parallel, Data First, 2.464549, 512
16, Parallel, Filter First, 2.546992, 512
16, Parallel, Data First, 2.504304, 512
1, Parallel, Filter First, 10.426708, 512
1, Parallel, Data First, 9.761262, 512
2, Parallel, Filter First, 5.212109, 512
2, Parallel, Data First, 4.879008, 512
4, Parallel, Filter First, 5.34907, 512
4, Parallel, Data First, 2.566589, 512
8, Parallel, Filter First, 2.536338, 512
8, Parallel, Data First, 2.464558, 512
16, Parallel, Filter First, 2.532781, 512
16, Parallel, Data First, 2.461319, 512
1, Parallel, Filter First, 10.408871, 512
1, Parallel, Data First, 9.773583, 512
2, Parallel, Filter First, 5.194768, 512
2, Parallel, Data First, 4.887539, 512
4, Parallel, Filter First, 5.34138, 512
4, Parallel, Data First, 2.572596, 512
8, Parallel, Filter First, 2.523524, 512
8, Parallel, Data First, 2.464250, 512
16, Parallel, Filter First, 2.545180, 512
16, Parallel, Data First, 2.464583, 512
1, Parallel, Filter First, 10.426028, 512
1, Parallel, Data First, 9.765704, 512
2, Parallel, Filter First, 5.213920, 512
2, Parallel, Data First, 4.882336, 512
4, Parallel, Filter First, 2.602213, 512
4, Parallel, Data First, 2.441668, 512
8, Parallel, Filter First, 2.537546, 512
8, Parallel, Data First, 2.464145, 512
16, Parallel, Filter First, 2.523579, 512
16, Parallel, Data First, 2.479042, 512
1, Parallel, Filter First, 10.404700, 512
1, Parallel, Data First, 9.758852, 512
2, Parallel, Filter First, 5.196141, 512
2, Parallel, Data First, 4.878473, 512
4, Parallel, Filter First, 3.659539, 512
4, Parallel, Data First, 2.440763, 512
8, Parallel, Filter First, 2.546366, 512
8, Parallel, Data First, 2.493891, 512
16, Parallel, Filter First, 2.566698, 512
16, Parallel, Data First, 2.515655, 512
1, Parallel, Filter First, 10.412456, 512
1, Parallel, Data First, 9.756333, 512
2, Parallel, Filter First, 5.200507, 512
2, Parallel, Data First, 4.877682, 512
4, Parallel, Filter First, 4.314606, 512
4, Parallel, Data First, 2.440885, 512
8, Parallel, Filter First, 2.529804, 512
8, Parallel, Data First, 2.464459, 512
16, Parallel, Filter First, 2.564989, 512
16, Parallel, Data First, 2.495656, 512
1, Parallel, Filter First, 10.403724, 512
1, Parallel, Data First, 9.803354, 512
2, Parallel, Filter First, 5.197957, 512
2, Parallel, Data First, 4.901447, 512
4, Parallel, Filter First, 2.606990, 512
4, Parallel, Data First, 2.451990, 512
8, Parallel, Filter First, 2.527726, 512
8, Parallel, Data First, 2.463989, 512
16, Parallel, Filter First, 2.532700, 512
16, Parallel, Data First, 2.473893, 512
1, Parallel, Filter First, 10.406365, 512
1, Parallel, Data First, 9.747899, 512
2, Parallel, Filter First, 5.193908, 512
2, Parallel, Data First, 4.877234, 512
4, Parallel, Filter First, 5.32676, 512
4, Parallel, Data First, 4.923439, 512
8, Parallel, Filter First, 2.537079, 512
8, Parallel, Data First, 2.464769, 512
16, Parallel, Filter First, 2.526622, 512
16, Parallel, Data First, 2.463685, 512
1, Parallel, Filter First, 10.417952, 512
1, Parallel, Data First, 9.767990, 512
2, Parallel, Filter First, 5.213459, 512
2, Parallel, Data First, 4.884102, 512
4, Parallel, Filter First, 2.609196, 512
4, Parallel, Data First, 2.443097, 512
8, Parallel, Filter First, 2.536271, 512
8, Parallel, Data First, 2.464496, 512
16, Parallel, Filter First, 2.546927, 512
16, Parallel, Data First, 2.501621, 512
1, Parallel, Filter First, 10.391628, 512
1, Parallel, Data First, 9.756373, 512
2, Parallel, Filter First, 5.190439, 512
2, Parallel, Data First, 4.877397, 512
4, Parallel, Filter First, 5.30913, 512
4, Parallel, Data First, 2.722354, 512
8, Parallel, Filter First, 2.540254, 512
8, Parallel, Data First, 2.464691, 512
16, Parallel, Filter First, 2.528345, 512
16, Parallel, Data First, 2.497543, 512
1, Parallel, Filter First, 10.416877, 512
1, Parallel, Data First, 9.757208, 512
